Song_id,Song_Name,Duration,AlbumName,A_id
SOAZTBX12AC4689A69,Adios...Borron Y Cuenta Nueva,259.23873,Discografía Completa Volumen 14,ARYN8YT1187FB38396
SOFEAJC12A58A7F3AA,A Hard Road,304.8224,PADLOCK ON THE BLUES,ARJ9DSA1187B990E00
SORZPFY12A8C137448,San Xuan,261.32853,Étnico Ma Non Troppo,ARVUQIC1187B9A7C66
SORRXOY12AB0183759,Isn't That Just Like God (Low Key Performance Track Without Background Vocals),236.2771,Isn't That Just Like God (Studio Track),ARK6JC91187B9B4B2D
SOADDVU12A8AE47512,Le Zoo De Vincennes,238.44526,Les Risques du Métier,AROGAPH1187B98CF9C
SOJMOIF12A8C14397B,Christina Christina Blues,200.80281,Champion Jack Dupree Of New Orleans,AR8ACFK1187B9B4063
SOFPQSC12A58A7B165,Crimson And Clover,324.70159,The Boat That Rocked,ARLDW2Y1187B9B544F
SOPIDCK12AB018DAF8,Barrage,87.87546,Moods,ARELA4P1187B991507
SOAPUWG12AB017DE50,Mele Wich Ayee (Shaan Remix),373.39383,Wham Bam!! Bhangra Remixes,ARELFAE1187FB40D0A
SOMOINR12AB0189188,XI GUAN LIANG GE REN,252.18567,My Secret Lover_ Jerry Yan,ARMAOIY1187B9A3893
SOBAMRQ12A8C141DF3,Faithful and True (Collectors Version),333.322,The Brand New Z.Z. Hill,ARRPCKN1187FB5BA2F
SODYMWS12A8C141577,Laughed At The Judge,325.25016,Grease Band & Amazing Grease,ARDGBFI1269FCD6AA6
SOKNAQC12A58A7EE5C,Outro Duction,52.00934,Original Album Classics,ARGEKDX1187FB3A5BF
SOBHGWG12A6D4F50D2,He Put The Hurt On Me,177.94567,Blue All The Way,ARGXNS21187B999665
SOVZIXG12AC3DF5331,Murderous Style,262.79138,The Best Of X-Static,ARFZNDU1187FB417FC
SOUGZYV12A8C143A6F,You're Welcome To Tonight (Duet w/ Lynn Anderson) (Album Version),228.5971,Greatest Hits Vol. II,AR0NQD81187FB3AD13
SOHLFWF12A58A7989F,Eu vi a maquina voadora,364.48608,Cabeça elétrica coração acústico,AR0B5HI1187B9B9DB9
SORERTC12A8AE454B3,Music Reach (1/2/3/4) (Remastered),252.52526,Experience: Expanded (Remastered),AR4L4WQ1187FB51996
SODMROC12A8C1443E7,I Will Always Love You,189.57016,Karaoke: Country Queen - Singing to the Hits,ARKRQSV1187B99FB13
SOBHRIK12A6D4F6E75,Colonel Brown (1999 Digital Remaster),173.26975,Tomorrow,ARB3YS71187FB4E54E
SOCYTFB12AB017F7CE,The Tide Is High - Original,170.50077,John Holt's 21 Miles From You,ARJPZSG1187FB3E985
SOVWNAS12A8C130573,Heart Half Empty,295.3922,This Is Ty Herndon:  Greatest Hits,ART09111187FB5BF48
SOCSZYG12AB01871C2,My Greatest Desire,144.1171,Shake A Hand,ARH4Z031187B9A71F2
SOATHUP12A8C131DC3,The Flame,323.18649,Resurrection,ARDEC2A1187B9A460E
SOESWTI12AB0184D39,Sta giu' (feat. Dj Rockdrive),222.17098,L'odio del mondo rese l'uomo schiavo dell'amore,ARZBYDY1187FB46DD7
SOSFVEI12A6D4F7C84,The Truth Forever,623.72526,The Master Musicians of Jajouka,AR0N0DX1187FB41327
SONOQCH12A6D4FE0EE,Walk With Me,348.36853,Eternity,ARMW8O71187B98CD90
SOHPFNX12AB018A5FE,Everything You Touch Is a Song,319.60771,Carry me Home - The Power Of Gospel,ARFCOGY1187FB454B4
SOJDTBL12AB0188BF6,A Brazilian in New York,305.65832,Solo in Rio 1959,ARQCHDN1187FB4C7C2
SODKPPT12A8AE46A99,De Tree Little Pigs,319.63383,Gift 2,AROIHOI122988FEB8E
SOPNFTX12A67020455,Get On Top (Album Version),198.05995,Californication,ARE8GLF1187FB52532
SOIWZZD12A8C14505C,Upon The Shores [Explicit],321.17506,Shogun,ARJBWQI1187B9B17D1
SOWBRZR12A58A7B5D2,Slimy Little Troll,66.42893,Extreme Channel Surfing,ARENLSD1241B9C71B9
SOPOTLV12AB017C1F7,Mumbo Jumbo (jazz),257.59302,Soul Express,ARYZV2X1187B997BE7
SOBRVRZ12A8C132DE5,First Blood,281.28608,Rambo - First Blood,ARM0RY81187B9AF248
SOWTBIV12A8C13B607,Do You Ever Think Of Me,179.59138,Stars Of The Summer Night,AR9F71I1187FB46CAF
SOKWXEW12A6D4F7F9E,Crawling Up A Hill - version 2 - mono_ live,142.602,Plays John Mayall (Live At Klooks Kleek),ARJ9DSA1187B990E00
SOFLCWE12AC468C2B2,Moon Going Down,196.62322,Essential Delta Blues,ARTDUXM1187B9899ED
SOZSSJQ12AB01852D1,Hero In A Dream,218.61832,Ensiferum,ARUWB5W1187B98D7A1
SOEJFMF12A670209F0,Raising Children,225.17506,Raising Children/Go Figure,ARTJPHB1187B9968E5
SOGVRQG12A58A7E69B,Epilog,53.39383,Backseat Travelling,ARIULTJ1187B9A2017
SOKQYBC12AB0183C87,Ice Cream Man,352.88771,Live Wide Open,AR4TLW81187B99683D
SOBHDHC12A6D4FA2A4,Ji Xiang Yan Chu,230.29506,Not Anymore,ARVNIVQ1250941026F
SONKDJU12A67FFB313,No seamos tontos,216.81587,Con el alma entre las manos,ARNNHLN1187FB42912
SODWSGW12A58A7D4B8,Why Do All Girls Think They're Fat (Album),153.67791,Monkeys For Nothin' And The Chimps For Free,ARZJ4MI1187B9AF5AF
SOJTSAW12A58A7B6C2,My First Day At School,110.44526,Have Fun Learning - 14 Sing Along & Learn Along Songs,AR502DZ1187B98F8E1
SOTJODQ12AB018561C,De Kommissar 1,26.67057,Die Letzte Rache (+Bonus),ARE08BN1187B98FCA3
SOAONEP12A58A7D2B3,De Bombacha Y Alpargatas,131.57832,15 Grandes Éxitos,ARSWXNX1187FB3D04E
SOAXQTX12AB017F467,He Jiu Bi Hun,188.52526,De Xin Ying Shou Yan Chang Hui 2006,ARFERPC1187FB557F6
SOPJBSM12AB0182B14,O Hiroteros Ehthros Mou,200.38485,To Pathos Ine Aformi,ARIJ7MR1187B9B484E
SOICEAK12A6D4F4819,Midnight In Memphis,263.94077,The Very Best Of J.J. Cale,AR93D4D1187FB3ACAD
SOWHIHY12AB018B64A,Feelin You,312.94649,Juke Trax Online Vol. 6,ARPOPBQ11F4C83D36D
SOLLWEJ12A8C132B05,This Time I Know,227.44771,Let Me Put The Head In It - Blues And Soul Mix,ARMKO9M1187B9B0848
SORBVIZ12A8C13A4BA,God Will Make A Way,316.36853,The Good Road,ARKYI5T1187B99334F
SONCPQC12A58A7D3A7,Spark,220.96934,Urban Renewal Program,ARWHM281187FB3D381
SONAJJE12A6D4F49A0,Follow Your Dreams (The Plan Album Version),196.64934,The Plan,ARI4NXX1187FB59DF2
SOTUGCE12AB0181409,Destroy Babylon,85.26322,Live at CBGB 1982,AR7Y6JX1187FB4D9B3
SOHKEPR12AB018C9C9,Don't Leave,269.73995,Stand Up,ARQ0BZY1187B99F093
SOGKVQY12AAF3B28D7,Travel Song (Reprise),68.98893,Dora The Explorer Party Favorites,AR3KXHI1187FB3A8BF
SOADKNO12AB0182BC7,Cold Blood (LP Version),257.2273,Blow My Fuse,AR3SEQM1187B98E9E8
SOQIDEF12A8C139B23,Don't Go Knockin' On My Door,223.52934,Oops!... I Did It Again,AR03BDP1187FB5B324
SOVBYLF12AB017EBAC,Sacrifice for the Slaughtergod,173.37424,Beyond the Permafrost,ARH8B5X1187FB3B6C0
SOIBAKV12A8C142CE7,Jimi Baby,118.49098,Winter Tour '05 - '06,AR5BX3Y1187FB39E93
SOTEWGK12AB0185C5A,Wanikaa (Featuring Abramz_ Krazy_ Lyrical G_ Saint Ca and Sylvester),201.482,Uganda,ARS2FUA1187B9ADABF
SOIUODF12A6D4F9C3E,Pass Through My Will,113.78893,Master Collection_ Vol. 1,ARAPI451187B9B6E6F
SOGINAY12A8C138666,Full Of Voices,205.7922,Live Radio Sessions,ARS0W831187B9AF0B7
SOETIGS12AB0186644,More Where That Came From - Original,323.99628,Leroy Hutson Selected Hits Vol. 2,ARVML4B1187FB52324
SOCVTPO12A8C13414F,I Worship You,281.88689,Break Through,ARUZL121187FB4B42D
SOLBDEY12AC9E12684,La boîte à hein biloute,9.66485,Sonneries ch'ti By Blingtones,ARGSAFR1269FB35070
SOLBDAS12AB018BB6E,Si No Te Hubieras Ido,288.83546,Asi Soy,AROVE3N1187FB44DAD
SOHWVJJ12AB0185F6D,Fool For Your Loving,250.3571,Whitesnake's Greatest Hits,ARASYMJ1187B9ACAF2
SOVQWTQ12A8C13D988,Lunes Por La Madrugada,194.01098,El Album,AR937CC1187B99B9B9
SOHZNER12AAFF43D08,Error,208.90077,Natsukashii,ARZU9NI1187B9AEE08
SOBDHIZ12AB0182E18,Winter (Four Seasons),233.76934,Two Warriors,ARP9QX11187FB50EEB
SONNDRB12A8AE46705,Wave,225.04444,Angelic Embrace,ARMSW7X1187FB5B504
SOGDLDE12AB017A28E,Wa'ahila (Instrumental - Bonus Track),107.7024,The Legendary Ray Kane : Old Slack Key,ARDAONS11F4C844929
SOZAFEC12AB018C519,Drive In Saturday - (Tribute to David Bowie),254.32771,A Tribute To David Bowie Vol 1,AROLZEM1187B9A805E
SODTDRC12A81C22C7C,Seuraavassa elämässä,227.36934,Lauluja rakkaudesta,AR22KLC1187B98E812
SOZTDIN12AB018AAD1,Bed Crumbs,124.94322,In A Word,AR05VW21187FB407B4
SOVOYJL12A8C142B2A,What'd I Say,174.34077,The Best of Donnie Brooks,AR180PG1187B997BAE
SOJCOPL12AB01886A1,Time to come true,235.17995,Peace in a time of war,ARVWNTI1269FB34C59
SOYMPFK12A8C141D1A,My Life Would Suck Without You,230.63465,My Life Would Suck Without You,ARJGIOD1187B9AE920
SOGSBKB12AC9097E0F,J'l'ai pas dit,264.61995,Fous les canards,AR64N1H1187B996199
SOCOTRH12A8C13840D,I'm Just Wonderin' Part 2,147.69587,Urban Blues Singing Legend 1949-1951,AR6Y8JF1187B9BA1D5
SOGIAKH12AB0184D05,Hallelujah,200.202,Something Beautiful,ARSVRVA1187B99228A
SOWRILA12A8C1360D0,Sometimes,207.56853,The Beat Goes On,AR202MX1187B9B0383
SOQFWIS12A58A7BD61,Falling Bombs,298.13506,Hex,ARNR58F1187FB52FA9
SONFOLB12AB01841B9,Whatever's Cool With Me (LP Version),271.12444,Whatever's Cool With Me,AR9YWMS1187FB43A34
SOSBJHW12A6D4FAAB2,Creeper Kamikaze,201.87383,Inertia,AR1GNFR1187B9AD1FD
SOUDSJF12A8C13C36D,Ja (Hanno's Poppersmonstermix),357.85098,36 Grad Remixe,ARNJVSL1187B99AFD4
SOIEJUL12AB0181C12,No More Blues (Chega de Saudade),326.42567,Fantasia,ARGMXQW1187FB54C34
SOAGCNO12AB0187A1A,Revelations,243.722,Love it to Life,ARE0OLY1187B9AD19F
SOJUTCU12AB017EDB4,Siyabonga (Unreleased Bonus Track),235.91138,Instrumentals and Lost Tracks,AR16T2D1187B98ABF4
SOBPHTZ12A8C134095,Journey To Love,282.69669,The Bass-ic Collection,ARHZCG01187B99E4DE
SOEIIYR12AB01825B8,I Want It,260.54485,Back From The Dead,ARY02GH1187B99B223
SOTNLBM12AB0185DD2,Blaue Matrosen (live),159.55546,Drama_ Spiel und Blut (Das Archiv Teil 1),ARFY8NV1187B9B1961
SODUNOD12A58A79381,I Live to Be Hated,121.70404,Suicide Sessions / Anti-Social Personality Disorder: Live,ARA7WV51187FB532B0
SOKBBBJ12AB018A3BF,Chariots Of Fire,245.39383,Hits Of The 80's,ARUGX5X1187FB468C4
SOFPGXP12A58A78AAB,Ma Rainey's Black Bottom,188.94322,Ma Rainey,ARWQ2DR1187B98FF28
SOULLZX12A8C13491F,Alguna Vez,148.00934,Devorador De Corazones,AR1LQNB1187B9A6AE5
SOHOXXV12A6701BEBF,The Majesty Of Rock,235.41506,Break Like The Wind,ARWDP431187FB56492
SONPVKR12A58A7BA4A,Strange Thing,219.19302,French,AR0XSOO1187B9B9E88
SOYSRRY12A6310E1C1,It's Not Me,230.42567,Here Without You,ARW1MUW1187FB4D5A1
SOAHRFR12A8C142155,Rotting Fumes,107.57179,Rad Jackson,ARI8GY11187B988DF4
SOJUZCX12AB0181D3E,Fausse monnaie,180.00934,Paris Jazz Cafe Vol.3,AROVSYC119B3403921
SOOQACI12AB0188EC8,Maria,278.59546,M'Zee Fulangenge,ARWJHW61187B98FA8E
SONRARH12A8C139DCC,56 Days,229.22404,The Lucky Ones,AR609UN1187FB53FA1
SOOOJUT12AB01883B9,Hungarian Dances_ WoO 1: No. 12 in D Minor: Presto,151.01342,Brahms: The Complete Symphonies and Hungarian Dances,ARZOVCV11F4C83D9FA
SOMEHWS12A8C13727B,Sublime Ensoñacion,157.88363,Asi Bailaba Cuba Vol. Iv,ARA373P1187B9A74C7
SOFLDUO12A8C137BC0,Daughter Of Zion,235.78077,Love Thing,ARS1DCR1187B9A4A56
SOUUCMM12A8C1362C3,Come To Find Out,247.32689,In Your Arms Again,AR5U94U1187FB5CDCF
SORYSJU12A8C144CFA,Victim Of Circumstance,248.78975,Live 1990,AR8SRQ31187FB4D477
SOFUBUF12AC3DF98FF,Bubblegum,145.78893,Radio Hits 2,ARWSMC91187B9AD369
SOFKOUI12A58A7F55C,Ni Gota De Rencor,199.94077,Donde Estas Corazon,ARXTM8U1187B99F200
SOPZMUP12AB018C070,Airheads,318.9024,Sweetlife,ARJ1W5M1187FB458F3
SOLFDCM12A6D4F7A7C,Mary Jane's Last Dance,274.20689,Greatest Hits,ARBEBBY1187B9B43DB
SOZKGKZ12AB017E527,French Touch,201.09016,Concerts Inédits: Solo - Duo - Trio,ARWI6LR1187FB46E9F
SOEKZPU12AC3DF6093,Gangster Of Love,242.88608,Glory Bound [Original Recording Remastered],ARTXS851187FB411C7
SOTNBRQ12AC4687F85,Your God Isn't Listening,260.38812,Steppin' It Up A Notch,ARDHKHJ1187B9B62EA
SOYHTLZ12A8C1399F7,Sosa (Explicit),125.41342,Pieces Of A Man,ARKQ9JM1187FB57521
SOSHQVN12A6D4F9B21,"Der Wind Hat Mir Ein Lied Erzählt (from ""La Habanera"")",221.28281,CinéPassion,ARH0NCL1187B99B41A
SOFKTVC12A81C20A23,Señora (bonus track),204.53832,Vida loca,ARADF5Q1187B98DAE7
SOAECHX12A6D4FC3D9,Yippiyo-Ay,271.85587,Apocalypso,ARX2DLI1187FB4DD03
SOTQGQR12CF5CFD61E,Talk About Us,275.69587,On The 6 / J. Lo (Coffret 2 CD),AR7C6G11187B9B4C1E
SONIVCV12AB017FEED,Fall In Love [Rub A Dub Mix],184.73751,Strictly The Best Vol. 40,AR9RTS51187B996CC8
SOCTJIL12A67ADAF3F,Bury Your Head,212.29669,Saosin EP,ARGO67V1187B9968D2
SOXBWOG12A8C138A74,American Journey/IV. Arts and Sports,157.28281,An American Journey,AR039B11187B9B30D0
SOZUOAK12AB018AA82,Closed Eyes,290.63791,It's Nothing Personal,ARG9E8O1187B99AB4F
SOGFQTK12AB017DE14,I've Won (Introduction - Speaking),91.95057,Hallelujah Live,ARSVRVA1187B99228A
SOZSKUB12AC4686766,Le gardien de musée,297.76934,En concert au Splendid,AR27XEH1187FB4EC83
SOUYGWL12A58A7A474,Mudhump,212.47955,Swarm Warnings,ARFG9M11187FB3BBCB
SORPGNH12A6D4FCDE2,Serve The Ego (Hani Num Dub),529.91955,Serve The Ego,ARJJRZ41187FB4C856
SOVNZNG12A6D4F763D,Doble Bombo,171.80689,Un Blodymary,ARWG0541187FB364EC
SOVQWEN12A8C141BD9,Damien,222.09261,It's Dark And Hell Is Hot,ARTE9CG1187B99B1AF
SOJMDES12A6D4FD717,A Legend In My Time,152.58077,Country Greats,AR7CCCC1187FB578FF
SOMFSJZ12A8C13358D,The President's Speech,269.7922,Deep Impact - Music from the Motion Picture,ARBM57Q1187B9AF97C
SONTEWC12AB0186E51,Sencillamente,307.35628,Testosterona,AR02YGA1187B9B8AC4
SOERWEA12A6D4F4CB8,Going Home,277.10649,Ascolta,ARI6OUG1187B989234
SOULCEZ12AB0187E3C,Chanson Réaliste,194.79465,Dans un élan,ARQPSAB1269FCD243F
SOWQDJI12AC468AED3,Railroad Boogie,154.69669,Black Diamond Express To Hell,ARXCUQE1187B9ADD91
SOWJNKL12A81C21F17,Still In Love,283.74159,Nocturama,ARODBRG1187FB3FD99
SOWAIRN12AC468B37C,Big Guys Throw Cones,75.49342,Live_ Love_ Let Go,ARYA9ZH119B8668A81
SOSIVYG12A6D4F93A9,Poppin' Them Thangs,242.52036,Hot Joints 2,ARRXG5Y1187B9AA016
SOVCECZ12A6D4FA35E,Trong Com,43.51955,Heaven & Earth,AR6AGJV1187FB504BA
SOKCDWG12A8C1398E7,Råskevärsrock,126.6673,Bröderna Djup - Vi bor på landet,AR2ABYH1187B9A0C67
SOTLYRR12A8C13951F,Danny Boy,146.83383,RCA Country Legends,AR0X3JJ1187FB3A9A7
SOAQCDC12A8C139378,Cajun Blood,233.01179,Cajun Blood,AR1JGQT1187FB56878
SOCZQSZ12A8AE4604D,Old Broom,204.85179,Sly & Robbie present Taxi,AR0DSOO1187B9B855E
SONTUMS12AC468A9AA,Poikamies (2009),145.76281,Poikamies (2009),ARKPDBH1242077DEB1
SOPPEBK12A8C13B9CE,Good Looking Girl Blues,171.49342,In His Prime 1927-1928,ARN7OQ21187FB5A6B3
SONZEZK12A8C13A421,Jamboree,213.91628,Nineteen Naughty Nine Nature's Fury,AR1ZYLH1187B98C159
SOOOUDM12AAA15EE2D,Pak shte te obicham,253.70077,Tango,ART9VCW1187B9B6FE6
SOSYMSX12A6310DFE2,Subterranean Homesick Alien,267.20608,OK Computer (Collector's Edition),ARH6W4X1187B99274F
SOKVTFS12A8C1336D6,Lullaby,205.21751,When Juniper Sleeps,ARB06Z71187B99049A
SOCUDXX12A58A76EF9,Til The Victory's Won,231.54893,Walking Miracle,ARP32X81187B99EBF5
SOEBXFH12AB018607F,Dance_ Gypsy_ Dance,161.38404,Street Singer,ARMBDNQ1187FB3F3EC
SOAWMWQ12A8C13AF1D,Love Me,168.51546,The Edge Of Love,AR1PCLK1187FB5BBFF
SOCSEYN12A6D4F8178,Tell Me Why,305.34485,Things In The Game Done Changed,ARXP7MQ1187FB3AC5F
SOGCMMV12AB0184BBB,Good Loving,121.0771,C.C. Adcock,AR8LD3R1187FB4D08F
SORKSWH12A8C1452B4,Rio Grande Waltz,149.2371,A Year Of Time,AR0X3JJ1187FB3A9A7
SOGEBZO12A67ADF488,Young Blood (2007 Digital Remaster),209.99791,Saints And Sinners,ARASYMJ1187B9ACAF2
SOVXYYO12A8C13B254,Red Balloon,124.47302,Growing A Girl EP,ARNNBW81187FB55594
SOYALFX12A8C143637,Honey I Sugar Pie,207.33342,Riddim Driven - Adrenaline,AR202MX1187B9B0383
SOWXWOS12A8C143605,I Won't Let You Go Till You Bless My Soul (Album Version),329.74322,Conqueror,AR9YS621187FB5AC07
SOLHVZC12A8C14307F,Stand By Your Man,159.60771,Country 100,ARM5JLS1187FB3615B
SOFOOEV12A8AE44CA3,El Arte De Amar,304.32608,4 Rosas Y Que Dios Reparta Suerte,ARQGNEN1187FB4494C
SOHBOWM12AB018446A,Acension Final Chord Rising,142.41914,Atlantis Nath,AR1WU211187FB57E2B
SOCMHBT12A8C13D634,Phylyps Trak II/II,793.62567,Phylyps Trak II,AR2CM6U1187B999EB7
SOYNESO12AB018782B,The Trolley Song (Live Album Version),225.17506,Eddie Cano at PJ's,ARODP5P1187FB40142
SOHGYDF12A6D4FCD5E,Get Up & Go,173.68771,The Early Years_ CD C: 1952-1954,AR3DYAD1187FB3964E
SOBHIVO12AB0182476,Pinini Reggae,215.11791,Sí o Sí - Diario del Rock Argentino - Sumo,AR69GPS1187B99E556
SOHPWKA12A8C13864B,Irresistible! (Maurel & Fauvrelle LESS Mix),673.2273,Irresistible!,ARPLE851187B9B2B7C
SOFWMDO12A8C135956,Liquid Frequencies (liquid Soul Mix),402.62485,extrasensory perception compiled by martin & Liquid Soul,ARMFGS71187B98ED03
SOIKOBP12AB01897DA,Ye That Tempteth_ Ye That Bequeth,239.90812,Megalomania,AR0I2BV1187FB3D89F
SOKWIDU12CF5F87DA3,Slip Out The Back (Album Version),236.66893,The Rising Tied,ARHU9211187B9B7E0E
SOPOFBK12AF729EEBE,Answer In The Question,129.88036,The Ever Passing Moment,ARBOG0H1187B99F775
SOPOZOQ12A58A76660,Be Good To Me,168.64608,Sonny Terry & Brownie McGhee_ Vol. A (1938-1941),ARKJVHY11E2835E76B
SOGIZJH12AB01822B5,Banana Man,189.33506,Zydeco Champs,ARDL6T21187FB36FDD
SOBXFLQ12A6D4F3578,El Cara Bonita,129.74975,Que Todo Mexico Se Entere,ARPPTNG11F50C482A3
SOCSFMW12AB01826F2,Lonesome Road (1995 Digital Remaster),150.33424,Ultra-Lounge / Space-Capades  Volume Three,ARGMRRK1187FB5BE1F
SOQLXXN12AB01800CD,Chocolate,181.57669,Signal Fire,ARVN9FZ1187FB393F1
SOPAZAM12A6D4F6F05,You Are God (Broken Album Version),352.86159,Broken,ARVMFE61187B992463
SOUHBIP12AF72A14DA,It Has Been A Long Time_ Hasn't It,316.89098,Old Lions (in the world of snarling sheep),ARWQQYJ1187B9ADC4C
SORUPLP12A8C14177E,Humppa,182.83057,In Humppa We Trust-Live!,ARWRS4D1187FB3FCD4
SODHSPZ12AB0185645,Hey Joe,250.27873,Our Music Is Red  - With Purple Flashes,ARVSDB11187FB4270B
SOAUAOA12AB018776D,Fall Away Into Darkness,285.3873,Capsules,AR573WK1187FB47167
SOETFQZ12A8C13C7DA,Neon Rainbow,177.3971,The Letter/Neon Rainbow,ARMJAGH1187FB546F3
SOUWBCT12AB01846F6,Glo-Billy-Vee-Vee,193.4624,African Drums,AR6DD3C1187FB3D775
SOQYHCL12A8C13E707,Risen From Within,173.81832,Rise From Within,ARF3L8J1187B9B7866
SOCFESM12A8C131EA8,Brokÿn Nëedle,149.55057,This Will Be Laughing Week,ARIUHYM1187B9AEAE4
SORUWYJ12AB0181EBF,Empty Arms,184.2673,Martin Scorsese Presents The Blues: Stevie Ray Vaughan,ART3O5Z1187B9AB043
SOTVSQV12AB018767D,Bounce Back,240.43057,Juke Trax Online Vol. 6,ARPOPBQ11F4C83D36D
SOXDMYX12AB01890CA,winning friends,219.66322,Contact?,ARU24791187B996E24
SOVUDJB12A6D4F68C4,Blues,180.50567,Essential_ The Very Best Of...,ARB29H41187B98F0EF
